gene_id,gene_name,n_avail,fixed_score,dirichlet_median,uniform_median,corrected_median,diff_current_corrected
dd_Smed_v6_14115_0_1,dd14115,6,0.8372477768526417,0.6801666310196653,0.5365282527269652,0.8295679580993102,-0.14940132707964482
dd_Smed_v6_19890_0_1,dd19890,6,0.7967669892041107,0.6892634350776968,0.5008877897252032,0.8406629116349424,-0.15139947655724562
dd_Smed_v6_13343_0_1,dd13343,6,0.7834405085948823,0.6233155198241308,0.508725843543863,0.7602292724312788,-0.136913752607148
dd_Smed_v6_26877_0_1,dd26877,6,0.7808929076573923,0.673241415926276,0.49047514184318597,0.8211215917496275,-0.14788017582335156
dd_Smed_v6_2946_0_1,dd2946,6,0.7676956968289737,0.6048815860298694,0.5058906084179061,0.7377462511832089,-0.1328646651533395
dd_Smed_v6_38342_0_1,dd38342,6,0.7647122558877241,0.6569099694880604,0.4798613983719032,0.8012028776335757,-0.14429290814551532
dd_Smed_v6_28804_0_1,dd28804,6,0.7444385814466594,0.6269133963875607,0.49466014237669836,0.7646174370046327,-0.13770404061707198
dd_Smed_v6_14712_0_1,dd14712,6,0.7325464789783045,0.5705170922838417,0.4795563610148084,0.6958334586293141,-0.12531636634547239
dd_Smed_v6_22331_0_1,dd22331,6,0.7226253175517433,0.6246762378165408,0.45912498308513094,0.7618888775854163,-0.13721263976887554
dd_Smed_v6_22163_0_1,dd22163,6,0.7161821591472886,0.6328042528645667,0.476913676127672,0.7718022437214218,-0.13899799085685516
dd_Smed_v6_16472_0_1,dd16472,6,0.709839921953218,0.5464866275340637,0.4679399521894181,0.6665246059665989,-0.12003797843253516
dd_Smed_v6_31784_0_1,dd31784,6,0.7092933511118856,0.600974591365172,0.4435092138540445,0.732981069478486,-0.132006478113314
dd_Smed_v6_16955_0_1,dd16955,4,0.7035283133641632,0.42514084293528176,0.3819393011885672,0.6899953315004794,-0.26485448856519767
dd_Smed_v6_28888_0_1,dd28888,6,0.6948921017761153,0.5737271846708586,0.4715257637731089,0.6997486606773998,-0.12602147600654123
dd_Smed_v6_18207_0_1,dd18207,6,0.6930007884360294,0.5718182453431243,0.4702851515344155,0.6974204151739856,-0.12560216983086125
dd_Smed_v6_16007_0_1,dd16007,6,0.6898703855218126,0.5670696755998038,0.47291464122558313,0.6916288030510076,-0.12455912745120379
dd_Smed_v6_37930_0_1,dd37930,6,0.6801213833630043,0.5964074107209442,0.4532595100904724,0.7274106892973489,-0.1310032785764047
dd_Smed_v6_31217_0_1,dd31217,6,0.67716145170368,0.5724582600656057,0.30336969752667137,0.6982010116958797,-0.12574275163027393
dd_Smed_v6_30562_0_1,dd30562,6,0.672332528955978,0.6057512749785421,0.44854459562934323,0.7388069707957696,-0.13305569581722754
dd_Smed_v6_6626_0_1,dd6626,4,0.6640957094194517,0.39968451767395774,0.3558693900148684,0.6486802099840432,-0.24899569231008545
dd_Smed_v6_14824_0_1,dd14824,6,0.661741416156847,0.5587172266613831,0.4207926733835731,0.6814417052208965,-0.1227244785595134
dd_Smed_v6_11930_0_1,dd11930,6,0.6611302478963031,0.5562776543615093,0.2928539848613565,0.6784662710858699,-0.12218861672436054
dd_Smed_v6_29211_0_1,dd29211,6,0.6594587938133102,0.5927575637897029,0.4401000333047495,0.7229591388565608,-0.13020157506685792
dd_Smed_v6_34144_0_1,dd34144,6,0.6506812937359927,0.5792224889571272,0.43108908155665865,0.7064510305791106,-0.12722854162198338
dd_Smed_v6_12170_0_1,dd12170,6,0.6452032554725379,0.5029593268470507,0.2540305184264646,0.6134363591962922,-0.11047703234924156
dd_Smed_v6_12722_0_1,dd12722,6,0.6450611233375555,0.5641983950187269,0.42089586278893604,0.6881268341802276,-0.12392843916150065
dd_Smed_v6_35379_0_1,dd35379,6,0.6419703864643888,0.5751061742181156,0.4286284639288667,0.7014305508066514,-0.1263243765885358
dd_Smed_v6_11150_0_1,dd11150,6,0.6411483936691613,0.5680117543512787,0.4295188354571546,0.6927778131767443,-0.12476605882546554
dd_Smed_v6_10320_0_1,dd10320,6,0.6408008289979079,0.5375814848853884,0.4070566370726221,0.6556634130371988,-0.1180819281518104
dd_Smed_v6_36829_0_1,dd36829,6,0.6362493459728359,0.5505375171446342,0.42916441148420664,0.6714652897188859,-0.12092777257425169
dd_Smed_v6_12010_0_1,dd12010,6,0.6333794137041884,0.49102529345442086,0.24627463657691206,0.5988809675291484,-0.10785567407472757
dd_Smed_v6_4048_0_1,dd4048,6,0.6317030334156525,0.4893332902346479,0.24517501027037547,0.5968173090194384,-0.10748401878479052
dd_Smed_v6_12317_0_1,dd12317,4,0.6251267534354408,0.37667730405203803,0.3237703913840976,0.6113399490946055,-0.2346626450425675
dd_Smed_v6_20282_0_1,dd20282,6,0.6201102104432147,0.5358369670710014,0.41389501452822114,0.6535357048916531,-0.11769873782065177
dd_Smed_v6_17324_0_1,dd17324,6,0.6158508735753211,0.5283599491216203,0.42046686303445224,0.6444163299766543,-0.116056380855034
dd_Smed_v6_14213_0_1,dd14213,7,0.6146266156926367,0.6478517257018552,0.6298988582221375,0.6478517257018551,1.1102230246251565e-16
dd_Smed_v6_9774_0_1,Six1/2-2,6,0.613531358415871,0.4533911097114421,0.2851272195491886,0.5529802844633035,-0.09958917475186141
dd_Smed_v6_18125_0_1,dd18125,6,0.609224045364233,0.533746897610755,0.41459882417128713,0.6509865432960261,-0.11723964568527112
dd_Smed_v6_13474_0_1,dd13474,6,0.59521168295958,0.43555259972923316,0.27118919347647485,0.5312234742544719,-0.09567087452523876
dd_Smed_v6_9596_0_1,dd9596,6,0.5918611722987406,0.4768290702359532,0.27551405938916046,0.5815664869725071,-0.1047374167365539
dd_Smed_v6_15253_0_1,pitx,7,0.5917604799384887,0.6003228405170623,0.6616257469832146,0.6003228405170622,1.1102230246251565e-16
dd_Smed_v6_17476_0_1,dd17476,6,0.5898075373334524,0.5195970085771457,0.4028412932750361,0.6337285744136867,-0.11413156583654094
dd_Smed_v6_7227_0_1,dd7227,6,0.5865514112184833,0.42980563605439553,0.22075018244832928,0.5242141669706688,-0.09440853091627327
dd_Smed_v6_16646_0_1,dd16646,6,0.581970865372706,0.47638055045190253,0.24092916802390524,0.5810194480199136,-0.10463889756801104
dd_Smed_v6_11893_0_1,dd11893,6,0.581559571493542,0.5054841076949379,0.39745571130516666,0.616515718278478,-0.11103161058354005
dd_Smed_v6_33456_0_1,dd33456,6,0.5736039270336776,0.46793563690448625,0.23544085158062328,0.5707195753587793,-0.10278393845429301
dd_Smed_v6_18422_0_1,dd18422,6,0.5717611461924904,0.4660756823715278,0.23423207436938515,0.5684510743566781,-0.10237539198515028
dd_Smed_v6_46523_0,dd46523,6,0.5695018749659897,0.4637953559946779,0.2327500991330675,0.5656698651500349,-0.10187450915535701
dd_Smed_v6_13704_0_1,ptf-4,6,0.567369554224849,0.46409872906040267,0.23927955090054895,0.5660398753257742,-0.10194114626537149
dd_Smed_v6_33575_0_1,dd33575,6,0.5664680608924321,0.4480213227322506,0.26822314978628087,0.5464310022483291,-0.09840967951607849
dd_Smed_v6_16524_0_1,dd16524,6,0.5659201157241157,0.46018021675023146,0.23040063420975637,0.5612606460785785,-0.10108042932834704
dd_Smed_v6_9287_0_1,dd9287,6,0.5596982810600833,0.44118845231983805,0.2637824939016825,0.5380972644589809,-0.09690881213914282
dd_Smed_v6_14753_0_1,ascl-2,6,0.5551115894732359,0.43401662617423836,0.26826645869969323,0.5293501179508829,-0.09533349177664457
dd_Smed_v6_10911_0_1,dd10911,6,0.5550308077328224,0.4876194418601723,0.38104481937833096,0.594727006979225,-0.10710756511905267
dd_Smed_v6_13898_0_1,nkx2-like,6,0.5536283886105867,0.4309585057970827,0.23595954095845395,0.525620269173833,-0.09466176337675025
dd_Smed_v6_7033_0_1,dd7033,6,0.5533474915039883,0.39356308951306856,0.2429477797806479,0.4800107997964586,-0.08644771028339004
dd_Smed_v6_16466_0_1,dd16466,6,0.5475700863574404,0.4257692431603946,0.26519274325486947,0.5192911641968587,-0.09352192103646412
dd_Smed_v6_16124_0_1,runt-1,6,0.5310436198146555,0.41226674558042464,0.24498638926728222,0.5028227888961411,-0.09055604331571643
dd_Smed_v6_14633_0_1,otxA,7,0.5306416666666667,0.5837221227213347,0.5587167480737211,0.5837221227213346,1.1102230246251565e-16
dd_Smed_v6_37276_0_1,dd37276,6,0.5282038943758327,0.4221125012113539,0.20566057405672822,0.5148312042199716,-0.09271870300861773
dd_Smed_v6_52497_0_1,hmx-1,6,0.5159235607582783,0.39700577598927544,0.23506834453215814,0.4842096861578222,-0.08720391016854673
dd_Smed_v6_1399_0_1,dd1399,6,0.5133546401973719,0.39759090095114163,0.22401748159951063,0.484923336163146,-0.08733243521200434
dd_Smed_v6_25769_0_1,dd25769,6,0.5125779727348525,0.39362900894758324,0.23287379677557135,0.4800911986990149,-0.08646218975143166
dd_Smed_v6_48430_0_1,ovo,6,0.5093136735707472,0.42792288766974784,0.22215521075925904,0.5219178653559814,-0.09399497768623355
dd_Smed_v6_19286_0_1,dd19286,6,0.5062990915238037,0.3904695984909649,0.21938937484977017,0.4762378110705079,-0.08576821257954298
dd_Smed_v6_15104_0_1,ap2,6,0.505798395151503,0.38395395799355786,0.20083901495544765,0.46829098401867203,-0.08433702602511417
dd_Smed_v6_49988_0_1,dd49988,6,0.5028388260429737,0.38062111239665025,0.23585114880717828,0.46422606552606377,-0.08360495312941352
dd_Smed_v6_13056_0_1,tcf1,6,0.5017238442384643,0.40736578833274756,0.1965381302258495,0.49684531674260063,-0.08947952840985307
dd_Smed_v6_15555_0_1,pou4l-1,7,0.4896912690806,0.48042782423179664,0.39276124263333895,0.48042782423179653,1.1102230246251565e-16
dd_Smed_v6_15144_0_1,lhx2/9,6,0.4887901269419929,0.3674227794774363,0.1878092397106137,0.4481286658731386,-0.08070588639570231
dd_Smed_v6_2442_0_1,dd2442,6,0.4858450293552433,0.36664692941489396,0.21533824831296966,0.4471823972342176,-0.08053546781932364
dd_Smed_v6_8104_0_1,soxB1-2 (not deposited),6,0.4755396339302845,0.38408319619245485,0.17917644797521945,0.46844860990603243,-0.08436541371357759
dd_Smed_v6_10038_0_1,"Schmidtea mediterranea Zeb-1 mRNA, complete cds",6,0.4735823942457267,0.3718210147754497,0.17073527354488732,0.45349299118551606,-0.08167197641006635
dd_Smed_v6_6114_0_1,dd6114,6,0.4713059592397324,0.3706339025688526,0.17618911398458564,0.4520451250239768,-0.08141122245512422
dd_Smed_v6_17731_0_1,sim,6,0.46958288804859,0.3978089773066563,0.20072718955412977,0.48518931386434966,-0.08738033655769334
dd_Smed_v6_17726_0_1,Pax6A,6,0.46474275385874353,0.367920161214333,0.1720389366147968,0.44873529950239316,-0.08081513828806014
dd_Smed_v6_38033_0_1,dd38033,6,0.45785020476653654,0.3911421231546356,0.1948126653318053,0.47705805847249577,-0.08591593531786018
dd_Smed_v6_9893_0_1,coe,7,0.4529309890829823,0.466317568887317,0.31139168355782876,0.4663175688873169,1.1102230246251565e-16
dd_Smed_v6_18719_0_1,dd18719,6,0.45190426776250986,0.36680047172015456,0.1938631239157851,0.44736966572233194,-0.08056919400217738
dd_Smed_v6_14362_0_1,dd14362,6,0.451295455908141,0.3677749792944458,0.18878088591121536,0.4485582277918136,-0.08078324849736779
dd_Smed_v6_17534_0_1,arh,6,0.4445648167400896,0.3439083797076088,0.1578677062568115,0.4194492339319637,-0.07554085422435491
dd_Smed_v6_12617_0_1,dd12617,6,0.4350987899887827,0.36038166783947245,0.1858340118428065,0.4395409458382725,-0.07915927799880007
dd_Smed_v6_58909_0_1,gata4/5/6-3,6,0.4350256140048617,0.3489700216957873,0.18513296719057232,0.4256226858733918,-0.07665266417760452
dd_Smed_v6_13215_0_1,soxB,6,0.4318492569657888,0.36429353024312194,0.17954122804144484,0.44431206450032157,-0.08001853425719962
dd_Smed_v6_17498_0_1,dd17498,6,0.42901528866064953,0.3723961444594839,0.1778914002111288,0.4541944504101641,-0.08179830595068022
dd_Smed_v6_15473_0_1,dd15473,6,0.4233666524797787,0.3395858949629496,0.17046090972804345,0.41417729808564513,-0.07459140312269552
