v6_id	gene_name	compartment	subcluster	cell_type	fincher_cluster	log2fc	pval
dd_Smed_v6_15555_0_1	pou4l-1	G0 Progenitor	neural11_0			6.35508117023059	5.10126380290324e-105
dd_Smed_v6_9893_0_1	coe	G0 Progenitor	neural11_0			4.47384278414573	7.5574063047413e-68
dd_Smed_v6_22331_0_1	dd22331	G0 Progenitor	neural11_0			3.01953360022475	4.68490928113903e-28
dd_Smed_v6_13215_0_1	soxB	G0 Progenitor	neural11_0			5.52899707513634	5.07231923696865e-25
dd_Smed_v6_14213_0_1	dd14213	G0 Progenitor	neural11_1	npp-4; glutamatergic; npp-22	cil 7	4.35552869613836	2.30879240657764e-33
dd_Smed_v6_15555_0_1	pou4l-1	G0 Progenitor	neural11_1	npp-4; glutamatergic; npp-22	cil 7	4.78099047287692	1.14166630939282e-29
dd_Smed_v6_8104_0_1	dd8104	G0 Progenitor	neural11_1	npp-4; glutamatergic; npp-22	cil 7	2.8585549434277	2.29648752789981e-29
dd_Smed_v6_12010_0_1	dd12010	G0 Progenitor	neural11_1	npp-4; glutamatergic; npp-22	cil 7	3.04561865505393	1.0088981222068e-28
dd_Smed_v6_9893_0_1	coe	G0 Progenitor	neural11_1	npp-4; glutamatergic; npp-22	cil 7	3.62273257071843	2.17283692802532e-24
dd_Smed_v6_4048_0_1	dd4048	G0 Progenitor	neural11_1	npp-4; glutamatergic; npp-22	cil 7	3.8260295583047	1.38779855017498e-18
dd_Smed_v6_10911_0_1	dd10911	G0 Progenitor	neural11_1	npp-4; glutamatergic; npp-22	cil 7	2.41551669077755	4.35680454719715e-13
dd_Smed_v6_22331_0_1	dd22331	G0 Progenitor	neural11_1	npp-4; glutamatergic; npp-22	cil 7	3.0536761422687	3.89143709363799e-07
dd_Smed_v6_22331_0_1	dd22331	G0 Progenitor	neural11_2	GFI1B	cil 9	5.09531177935233	2.1612757629982e-39
dd_Smed_v6_18207_0_1	dd18207	G0 Progenitor	neural11_2	GFI1B	cil 9	4.63779174693294	8.51120817100915e-37
dd_Smed_v6_9893_0_1	coe	G0 Progenitor	neural11_2	GFI1B	cil 9	4.52751316470337	6.77653801426562e-34
dd_Smed_v6_8104_0_1	dd8104	G0 Progenitor	neural11_2	GFI1B	cil 9	4.45855327741882	1.00568829774003e-32
dd_Smed_v6_17534_0_1	arh	G0 Progenitor	neural11_2	GFI1B	cil 9	2.76499884386938	5.27897103224491e-19
dd_Smed_v6_14824_0_1	dd14824	G0 Progenitor	neural11_2	GFI1B	cil 9	3.49828452838011	1.76651153199268e-11
dd_Smed_v6_9460_0_2	dd9460	G0 Progenitor	neural11_2	GFI1B	cil 9	2.72782297347081	7.5180664706618e-10
dd_Smed_v6_20755_0_1	dd20755	G0 Progenitor	neural11_2	GFI1B	cil 9	3.45919497909694	2.46524289687213e-07
dd_Smed_v6_17731_0_1	sim	G0 Progenitor	neural11_3	ChAT	cil 12	6.3853850571037	1.79552022907006e-98
dd_Smed_v6_58909_0_1	gata4/5/6-3	G0 Progenitor	neural11_3	ChAT	cil 12	4.69961366033671	1.73320596019575e-56
dd_Smed_v6_13215_0_1	soxB	G0 Progenitor	neural11_3	ChAT	cil 12	2.73439155867194	2.57254186012348e-17
dd_Smed_v6_6470_0_1	tbx2/3b	G0 Progenitor	neural11_3	ChAT	cil 12	3.69136373928502	3.30551499579412e-14
