go_id,term,namespace,neural_go,tf_go,composite_bonus,n_of_97_neural_candidates,in_fig9_go_dotplot,in_fig_s1_map,in_fig_s2_top10_matrix,in_fig_s3_top15,in_fig_s4_neural_focus,is_obsolete
GO:0007399,nervous system development,biological_process,yes,no,go_neural +0.03,12,yes,yes,yes,no,yes,no
GO:0007411,axon guidance,biological_process,yes,no,go_neural +0.03,9,no,yes,yes,no,yes,no
GO:0007417,central nervous system development,biological_process,yes,no,go_neural +0.03,8,no,yes,yes,no,yes,no
GO:0007420,brain development,biological_process,yes,no,go_neural +0.03,8,no,yes,yes,no,yes,no
GO:0007605,sensory perception of sound,biological_process,yes,no,go_neural +0.03,8,no,yes,yes,no,yes,no
GO:0045665,negative regulation of neuron differentiation,biological_process,yes,no,go_neural +0.03,8,no,yes,yes,no,yes,no
GO:0048663,neuron fate commitment,biological_process,yes,no,go_neural +0.03,7,no,yes,no,no,yes,no
GO:0001764,neuron migration,biological_process,yes,no,go_neural +0.03,6,no,yes,no,no,yes,no
GO:0008045,motor neuron axon guidance,biological_process,yes,no,go_neural +0.03,6,no,no,no,no,yes,no
GO:0030182,neuron differentiation,biological_process,yes,no,go_neural +0.03,6,no,no,no,no,yes,no
GO:0045664,regulation of neuron differentiation,biological_process,yes,no,go_neural +0.03,6,no,no,no,no,yes,no
GO:0001654,eye development,biological_process,yes,no,go_neural +0.03,5,no,no,no,no,yes,no
GO:0031290,retinal ganglion cell axon guidance,biological_process,yes,no,go_neural +0.03,5,no,no,no,no,no,no
GO:0007422,peripheral nervous system development,biological_process,yes,no,go_neural +0.03,4,no,no,no,no,no,no
GO:0021879,forebrain neuron differentiation,biological_process,yes,no,go_neural +0.03,4,no,no,no,no,no,no
GO:0021915,neural tube development,biological_process,yes,no,go_neural +0.03,4,no,no,no,no,no,no
GO:0030901,midbrain development,biological_process,yes,no,go_neural +0.03,4,no,no,no,no,no,no
GO:0042491,inner ear auditory receptor cell differentiation,biological_process,yes,no,go_neural +0.03,4,no,no,no,no,no,no
GO:0045666,positive regulation of neuron differentiation,biological_process,yes,no,go_neural +0.03,4,no,no,no,no,no,no
