draw,gene_id,gene_name,rank,in_top_10
1,dd_Smed_v6_14115_0_1,dd14115,2,True
1,dd_Smed_v6_19890_0_1,dd19890,3,True
1,dd_Smed_v6_13343_0_1,dd13343,4,True
1,dd_Smed_v6_26877_0_1,dd26877,1,True
1,dd_Smed_v6_2946_0_1,dd2946,7,True
1,dd_Smed_v6_38342_0_1,dd38342,9,True
1,dd_Smed_v6_28804_0_1,dd28804,12,False
1,dd_Smed_v6_14712_0_1,dd14712,23,False
1,dd_Smed_v6_22331_0_1,dd22331,8,True
1,dd_Smed_v6_22163_0_1,dd22163,21,False
1,dd_Smed_v6_16472_0_1,dd16472,30,False
1,dd_Smed_v6_31784_0_1,dd31784,25,False
1,dd_Smed_v6_16955_0_1,dd16955,5,True
1,dd_Smed_v6_28888_0_1,dd28888,32,False
1,dd_Smed_v6_18207_0_1,dd18207,10,True
1,dd_Smed_v6_16007_0_1,dd16007,6,True
1,dd_Smed_v6_37930_0_1,dd37930,31,False
1,dd_Smed_v6_31217_0_1,dd31217,42,False
1,dd_Smed_v6_30562_0_1,dd30562,16,False
1,dd_Smed_v6_6626_0_1,dd6626,20,False
1,dd_Smed_v6_14824_0_1,dd14824,24,False
1,dd_Smed_v6_11930_0_1,dd11930,29,False
1,dd_Smed_v6_29211_0_1,dd29211,19,False
1,dd_Smed_v6_34144_0_1,dd34144,18,False
1,dd_Smed_v6_12170_0_1,dd12170,14,False
1,dd_Smed_v6_12722_0_1,dd12722,17,False
1,dd_Smed_v6_35379_0_1,dd35379,28,False
1,dd_Smed_v6_11150_0_1,dd11150,11,False
1,dd_Smed_v6_10320_0_1,dd10320,46,False
1,dd_Smed_v6_36829_0_1,dd36829,40,False
1,dd_Smed_v6_12010_0_1,dd12010,15,False
1,dd_Smed_v6_4048_0_1,dd4048,27,False
1,dd_Smed_v6_12317_0_1,dd12317,39,False
1,dd_Smed_v6_20282_0_1,dd20282,41,False
1,dd_Smed_v6_17324_0_1,dd17324,43,False
1,dd_Smed_v6_14213_0_1,dd14213,26,False
1,dd_Smed_v6_9774_0_1,Six1/2-2,50,False
1,dd_Smed_v6_18125_0_1,dd18125,44,False
1,dd_Smed_v6_13474_0_1,dd13474,36,False
1,dd_Smed_v6_9596_0_1,dd9596,52,False
1,dd_Smed_v6_15253_0_1,pitx,22,False
1,dd_Smed_v6_17476_0_1,dd17476,51,False
1,dd_Smed_v6_7227_0_1,dd7227,33,False
1,dd_Smed_v6_16646_0_1,dd16646,45,False
1,dd_Smed_v6_11893_0_1,dd11893,47,False
1,dd_Smed_v6_33456_0_1,dd33456,38,False
1,dd_Smed_v6_18422_0_1,dd18422,71,False
1,dd_Smed_v6_46523_0,dd46523,76,False
1,dd_Smed_v6_13704_0_1,ptf-4,13,False
1,dd_Smed_v6_33575_0_1,dd33575,37,False
1,dd_Smed_v6_16524_0_1,dd16524,69,False
1,dd_Smed_v6_9287_0_1,dd9287,55,False
1,dd_Smed_v6_14753_0_1,ascl-2,35,False
1,dd_Smed_v6_10911_0_1,dd10911,48,False
1,dd_Smed_v6_13898_0_1,nkx2-like,53,False
1,dd_Smed_v6_7033_0_1,dd7033,59,False
1,dd_Smed_v6_16466_0_1,dd16466,64,False
1,dd_Smed_v6_16124_0_1,runt-1,54,False
1,dd_Smed_v6_14633_0_1,otxA,88,False
1,dd_Smed_v6_37276_0_1,dd37276,62,False
1,dd_Smed_v6_52497_0_1,hmx-1,67,False
1,dd_Smed_v6_1399_0_1,dd1399,78,False
1,dd_Smed_v6_25769_0_1,dd25769,63,False
1,dd_Smed_v6_48430_0_1,ovo,34,False
1,dd_Smed_v6_19286_0_1,dd19286,58,False
1,dd_Smed_v6_15104_0_1,ap2,56,False
1,dd_Smed_v6_49988_0_1,dd49988,49,False
1,dd_Smed_v6_13056_0_1,tcf1,70,False
1,dd_Smed_v6_15555_0_1,pou4l-1,77,False
1,dd_Smed_v6_15144_0_1,lhx2/9,65,False
1,dd_Smed_v6_2442_0_1,dd2442,61,False
1,dd_Smed_v6_8104_0_1,soxB1-2 (not deposited),81,False
1,dd_Smed_v6_10038_0_1,"Schmidtea mediterranea Zeb-1 mRNA, complete cds",79,False
1,dd_Smed_v6_6114_0_1,dd6114,93,False
1,dd_Smed_v6_17731_0_1,sim,80,False
1,dd_Smed_v6_17726_0_1,Pax6A,75,False
1,dd_Smed_v6_38033_0_1,dd38033,60,False
1,dd_Smed_v6_9893_0_1,coe,57,False
1,dd_Smed_v6_18719_0_1,dd18719,86,False
1,dd_Smed_v6_14362_0_1,dd14362,83,False
1,dd_Smed_v6_17534_0_1,arh,68,False
1,dd_Smed_v6_12617_0_1,dd12617,82,False
1,dd_Smed_v6_58909_0_1,gata4/5/6-3,87,False
1,dd_Smed_v6_13215_0_1,soxB,66,False
1,dd_Smed_v6_17498_0_1,dd17498,73,False
1,dd_Smed_v6_15473_0_1,dd15473,72,False
1,dd_Smed_v6_10219_0_1,dd10219,99,False
1,dd_Smed_v6_13772_0_1,PROX-1,74,False
1,dd_Smed_v6_20755_0_1,dd20755,85,False
1,dd_Smed_v6_11935_0_1,dd11935,96,False
1,dd_Smed_v6_18972_0_1,dd18972,94,False
1,dd_Smed_v6_6470_0_1,tbx2/3b,95,False
1,dd_Smed_v6_9460_0_2,dd9460,84,False
1,dd_Smed_v6_6778_0_1,dd6778,92,False
1,dd_Smed_v6_14315_0_1,dd14937,98,False
1,dd_Smed_v6_8820_0_1,islet1,91,False
1,dd_Smed_v6_16399_0_1,meis,89,False
1,dd_Smed_v6_19757_0_1,dd19757,97,False
1,dd_Smed_v6_18952_0_1,scratch,90,False
2,dd_Smed_v6_14115_0_1,dd14115,1,True
2,dd_Smed_v6_19890_0_1,dd19890,5,True
2,dd_Smed_v6_13343_0_1,dd13343,3,True
2,dd_Smed_v6_26877_0_1,dd26877,6,True
2,dd_Smed_v6_2946_0_1,dd2946,4,True
2,dd_Smed_v6_38342_0_1,dd38342,2,True
2,dd_Smed_v6_28804_0_1,dd28804,9,True
2,dd_Smed_v6_14712_0_1,dd14712,7,True
2,dd_Smed_v6_22331_0_1,dd22331,17,False
2,dd_Smed_v6_22163_0_1,dd22163,12,False
2,dd_Smed_v6_16472_0_1,dd16472,18,False
2,dd_Smed_v6_31784_0_1,dd31784,24,False
2,dd_Smed_v6_16955_0_1,dd16955,21,False
2,dd_Smed_v6_28888_0_1,dd28888,15,False
2,dd_Smed_v6_18207_0_1,dd18207,13,False
2,dd_Smed_v6_16007_0_1,dd16007,8,True
2,dd_Smed_v6_37930_0_1,dd37930,26,False
2,dd_Smed_v6_31217_0_1,dd31217,39,False
2,dd_Smed_v6_30562_0_1,dd30562,28,False
2,dd_Smed_v6_6626_0_1,dd6626,29,False
2,dd_Smed_v6_14824_0_1,dd14824,10,True
2,dd_Smed_v6_11930_0_1,dd11930,16,False
2,dd_Smed_v6_29211_0_1,dd29211,32,False
2,dd_Smed_v6_34144_0_1,dd34144,31,False
2,dd_Smed_v6_12170_0_1,dd12170,22,False
2,dd_Smed_v6_12722_0_1,dd12722,25,False
2,dd_Smed_v6_35379_0_1,dd35379,35,False
2,dd_Smed_v6_11150_0_1,dd11150,27,False
2,dd_Smed_v6_10320_0_1,dd10320,11,False
2,dd_Smed_v6_36829_0_1,dd36829,19,False
2,dd_Smed_v6_12010_0_1,dd12010,20,False
2,dd_Smed_v6_4048_0_1,dd4048,30,False
2,dd_Smed_v6_12317_0_1,dd12317,42,False
2,dd_Smed_v6_20282_0_1,dd20282,43,False
2,dd_Smed_v6_17324_0_1,dd17324,38,False
2,dd_Smed_v6_14213_0_1,dd14213,33,False
2,dd_Smed_v6_9774_0_1,Six1/2-2,36,False
2,dd_Smed_v6_18125_0_1,dd18125,14,False
2,dd_Smed_v6_13474_0_1,dd13474,48,False
2,dd_Smed_v6_9596_0_1,dd9596,68,False
2,dd_Smed_v6_15253_0_1,pitx,60,False
2,dd_Smed_v6_17476_0_1,dd17476,41,False
2,dd_Smed_v6_7227_0_1,dd7227,40,False
2,dd_Smed_v6_16646_0_1,dd16646,37,False
2,dd_Smed_v6_11893_0_1,dd11893,63,False
2,dd_Smed_v6_33456_0_1,dd33456,45,False
2,dd_Smed_v6_18422_0_1,dd18422,23,False
2,dd_Smed_v6_46523_0,dd46523,65,False
2,dd_Smed_v6_13704_0_1,ptf-4,59,False
2,dd_Smed_v6_33575_0_1,dd33575,89,False
2,dd_Smed_v6_16524_0_1,dd16524,53,False
2,dd_Smed_v6_9287_0_1,dd9287,64,False
2,dd_Smed_v6_14753_0_1,ascl-2,47,False
2,dd_Smed_v6_10911_0_1,dd10911,56,False
2,dd_Smed_v6_13898_0_1,nkx2-like,50,False
2,dd_Smed_v6_7033_0_1,dd7033,70,False
2,dd_Smed_v6_16466_0_1,dd16466,46,False
2,dd_Smed_v6_16124_0_1,runt-1,49,False
2,dd_Smed_v6_14633_0_1,otxA,92,False
2,dd_Smed_v6_37276_0_1,dd37276,57,False
2,dd_Smed_v6_52497_0_1,hmx-1,51,False
2,dd_Smed_v6_1399_0_1,dd1399,84,False
2,dd_Smed_v6_25769_0_1,dd25769,67,False
2,dd_Smed_v6_48430_0_1,ovo,34,False
