gene_id,gene_name,baseline_rank,in_baseline_top10,n_draws_in_top10,frac_draws_in_top10,best_rank,median_rank,displaced_most_often,n_times_displaced
dd_Smed_v6_14115_0_1,dd14115,1,True,994,0.994,1,1.0,dd_Smed_v6_16646_0_1,983
dd_Smed_v6_19890_0_1,dd19890,2,True,929,0.929,1,4.0,dd_Smed_v6_16646_0_1,918
dd_Smed_v6_13343_0_1,dd13343,3,True,890,0.89,1,4.0,dd_Smed_v6_16646_0_1,881
dd_Smed_v6_26877_0_1,dd26877,4,True,866,0.866,1,5.0,dd_Smed_v6_16646_0_1,858
dd_Smed_v6_38342_0_1,dd38342,6,True,787,0.787,1,6.0,dd_Smed_v6_16646_0_1,776
dd_Smed_v6_31217_0_1,dd31217,18,True,202,0.202,1,20.0,dd_Smed_v6_16646_0_1,201
dd_Smed_v6_11930_0_1,dd11930,22,True,98,0.098,3,24.0,dd_Smed_v6_16646_0_1,96
dd_Smed_v6_12170_0_1,dd12170,25,True,51,0.051,3,28.0,dd_Smed_v6_16646_0_1,51
dd_Smed_v6_12010_0_1,dd12010,31,True,45,0.045,3,31.0,dd_Smed_v6_12170_0_1,44
dd_Smed_v6_16646_0_1,dd16646,44,True,11,0.011,6,45.0,dd_Smed_v6_12170_0_1,11
dd_Smed_v6_2946_0_1,dd2946,5,False,756,0.756,1,6.0,dd_Smed_v6_16646_0_1,750
dd_Smed_v6_28804_0_1,dd28804,7,False,606,0.606,1,9.0,dd_Smed_v6_16646_0_1,601
dd_Smed_v6_14712_0_1,dd14712,8,False,516,0.516,1,10.0,dd_Smed_v6_16646_0_1,512
dd_Smed_v6_22331_0_1,dd22331,9,False,443,0.443,1,12.0,dd_Smed_v6_16646_0_1,439
dd_Smed_v6_22163_0_1,dd22163,10,False,358,0.358,1,13.0,dd_Smed_v6_16646_0_1,355
dd_Smed_v6_16472_0_1,dd16472,11,False,330,0.33,1,14.0,dd_Smed_v6_16646_0_1,328
dd_Smed_v6_31784_0_1,dd31784,12,False,321,0.321,1,15.0,dd_Smed_v6_16646_0_1,319
dd_Smed_v6_16955_0_1,dd16955,13,False,311,0.311,1,15.0,dd_Smed_v6_16646_0_1,309
dd_Smed_v6_28888_0_1,dd28888,14,False,231,0.231,1,16.0,dd_Smed_v6_16646_0_1,229
dd_Smed_v6_18207_0_1,dd18207,15,False,220,0.22,1,17.0,dd_Smed_v6_16646_0_1,216
dd_Smed_v6_16007_0_1,dd16007,16,False,191,0.191,1,18.0,dd_Smed_v6_16646_0_1,189
dd_Smed_v6_30562_0_1,dd30562,19,False,124,0.124,2,22.0,dd_Smed_v6_16646_0_1,122
dd_Smed_v6_37930_0_1,dd37930,17,False,119,0.119,2,21.0,dd_Smed_v6_16646_0_1,118
dd_Smed_v6_14824_0_1,dd14824,21,False,84,0.084,3,24.0,dd_Smed_v6_16646_0_1,84
dd_Smed_v6_29211_0_1,dd29211,23,False,78,0.078,1,24.0,dd_Smed_v6_16646_0_1,78
dd_Smed_v6_6626_0_1,dd6626,20,False,74,0.074,3,23.0,dd_Smed_v6_16646_0_1,73
dd_Smed_v6_11150_0_1,dd11150,28,False,44,0.044,4,29.0,dd_Smed_v6_12010_0_1,44
dd_Smed_v6_4048_0_1,dd4048,32,False,43,0.043,2,32.0,dd_Smed_v6_12010_0_1,43
dd_Smed_v6_34144_0_1,dd34144,24,False,39,0.039,5,27.0,dd_Smed_v6_11930_0_1,39
dd_Smed_v6_10320_0_1,dd10320,29,False,39,0.039,5,29.0,dd_Smed_v6_12170_0_1,39
dd_Smed_v6_35379_0_1,dd35379,27,False,35,0.035,2,29.0,dd_Smed_v6_12170_0_1,35
dd_Smed_v6_12722_0_1,dd12722,26,False,26,0.026,5,29.0,dd_Smed_v6_12010_0_1,26
dd_Smed_v6_36829_0_1,dd36829,30,False,23,0.023,2,32.0,dd_Smed_v6_11930_0_1,23
dd_Smed_v6_9774_0_1,Six1/2-2,37,False,15,0.015,4,35.0,dd_Smed_v6_12010_0_1,15
dd_Smed_v6_20282_0_1,dd20282,34,False,14,0.014,6,36.0,dd_Smed_v6_11930_0_1,14
dd_Smed_v6_18125_0_1,dd18125,38,False,11,0.011,7,38.5,dd_Smed_v6_11930_0_1,11
dd_Smed_v6_12317_0_1,dd12317,33,False,10,0.01,6,34.0,dd_Smed_v6_12010_0_1,10
dd_Smed_v6_13474_0_1,dd13474,39,False,7,0.007,6,41.0,dd_Smed_v6_12170_0_1,7
dd_Smed_v6_46523_0,dd46523,48,False,7,0.007,5,48.0,dd_Smed_v6_12010_0_1,7
dd_Smed_v6_14213_0_1,dd14213,36,False,6,0.006,7,36.0,dd_Smed_v6_12010_0_1,6
dd_Smed_v6_9596_0_1,dd9596,40,False,6,0.006,7,43.0,dd_Smed_v6_12170_0_1,6
