gene_id,gene_name,n_avail,fixed,centered,uniform
dd_Smed_v6_14115_0_1,dd14115,6,0.9772,0.7498049,0.7008817
dd_Smed_v6_19890_0_1,dd19890,6,0.9368,0.71398926,0.71456206
dd_Smed_v6_13343_0_1,dd13343,6,0.8734,0.700233,0.65781343
dd_Smed_v6_26877_0_1,dd26877,6,0.9209,0.6988548,0.702353
dd_Smed_v6_2946_0_1,dd2946,6,,0.68544513,0.639274
dd_Smed_v6_38342_0_1,dd38342,6,0.9047,0.6843045,0.69057953
dd_Smed_v6_28804_0_1,dd28804,6,,0.661347,0.6425428
dd_Smed_v6_14712_0_1,dd14712,6,,0.6532277,0.6210861
dd_Smed_v6_22331_0_1,dd22331,6,,0.6482256,
dd_Smed_v6_22163_0_1,dd22163,6,,0.63574743,
dd_Smed_v6_16472_0_1,dd16472,6,,,
dd_Smed_v6_31784_0_1,dd31784,6,,,0.65474546
dd_Smed_v6_16955_0_1,dd16955,4,,,
dd_Smed_v6_28888_0_1,dd28888,6,,,
dd_Smed_v6_18207_0_1,dd18207,6,,,
dd_Smed_v6_16007_0_1,dd16007,6,,,
dd_Smed_v6_37930_0_1,dd37930,6,,,
dd_Smed_v6_31217_0_1,dd31217,6,0.7972,,
dd_Smed_v6_30562_0_1,dd30562,6,,,
dd_Smed_v6_6626_0_1,dd6626,4,,,
dd_Smed_v6_14824_0_1,dd14824,6,,,
dd_Smed_v6_11930_0_1,dd11930,6,0.7111,,
dd_Smed_v6_29211_0_1,dd29211,6,,,
dd_Smed_v6_34144_0_1,dd34144,6,,,
dd_Smed_v6_12170_0_1,dd12170,6,0.7352,,
dd_Smed_v6_12722_0_1,dd12722,6,,,
dd_Smed_v6_35379_0_1,dd35379,6,,,
dd_Smed_v6_11150_0_1,dd11150,6,,,
dd_Smed_v6_10320_0_1,dd10320,6,,,
dd_Smed_v6_36829_0_1,dd36829,6,,,
dd_Smed_v6_12010_0_1,dd12010,6,0.7234,,
dd_Smed_v6_4048_0_1,dd4048,6,,,
dd_Smed_v6_12317_0_1,dd12317,4,,,
dd_Smed_v6_20282_0_1,dd20282,6,,,
dd_Smed_v6_17324_0_1,dd17324,6,,,
dd_Smed_v6_14213_0_1,dd14213,7,,,
dd_Smed_v6_9774_0_1,Six1/2-2,6,,,
dd_Smed_v6_18125_0_1,dd18125,6,,,
dd_Smed_v6_13474_0_1,dd13474,6,,,
dd_Smed_v6_9596_0_1,dd9596,6,,,
dd_Smed_v6_15253_0_1,pitx,7,,,0.62079287
dd_Smed_v6_17476_0_1,dd17476,6,,,
dd_Smed_v6_7227_0_1,dd7227,6,,,
dd_Smed_v6_16646_0_1,dd16646,6,0.702,,
dd_Smed_v6_11893_0_1,dd11893,6,,,
dd_Smed_v6_33456_0_1,dd33456,6,,,
dd_Smed_v6_18422_0_1,dd18422,6,,,
dd_Smed_v6_46523_0,dd46523,6,,,
dd_Smed_v6_13704_0_1,ptf-4,6,,,
dd_Smed_v6_33575_0_1,dd33575,6,,,
dd_Smed_v6_16524_0_1,dd16524,6,,,
dd_Smed_v6_9287_0_1,dd9287,6,,,
dd_Smed_v6_14753_0_1,ascl-2,6,,,
dd_Smed_v6_10911_0_1,dd10911,6,,,
dd_Smed_v6_13898_0_1,nkx2-like,6,,,
dd_Smed_v6_7033_0_1,dd7033,6,,,
dd_Smed_v6_16466_0_1,dd16466,6,,,
dd_Smed_v6_16124_0_1,runt-1,6,,,
dd_Smed_v6_14633_0_1,otxA,7,,,
dd_Smed_v6_37276_0_1,dd37276,6,,,
dd_Smed_v6_52497_0_1,hmx-1,6,,,
dd_Smed_v6_1399_0_1,dd1399,6,,,
dd_Smed_v6_25769_0_1,dd25769,6,,,
dd_Smed_v6_48430_0_1,ovo,6,,,
dd_Smed_v6_19286_0_1,dd19286,6,,,
dd_Smed_v6_15104_0_1,ap2,6,,,
dd_Smed_v6_49988_0_1,dd49988,6,,,
dd_Smed_v6_13056_0_1,tcf1,6,,,
dd_Smed_v6_15555_0_1,pou4l-1,7,,,
dd_Smed_v6_15144_0_1,lhx2/9,6,,,
dd_Smed_v6_2442_0_1,dd2442,6,,,
dd_Smed_v6_8104_0_1,soxB1-2 (not deposited),6,,,
dd_Smed_v6_10038_0_1,"Schmidtea mediterranea Zeb-1 mRNA, complete cds",6,,,
dd_Smed_v6_6114_0_1,dd6114,6,,,
dd_Smed_v6_17731_0_1,sim,6,,,
dd_Smed_v6_17726_0_1,Pax6A,6,,,
dd_Smed_v6_38033_0_1,dd38033,6,,,
dd_Smed_v6_9893_0_1,coe,7,,,
dd_Smed_v6_18719_0_1,dd18719,6,,,
dd_Smed_v6_14362_0_1,dd14362,6,,,
dd_Smed_v6_17534_0_1,arh,6,,,
dd_Smed_v6_12617_0_1,dd12617,6,,,
dd_Smed_v6_58909_0_1,gata4/5/6-3,6,,,
dd_Smed_v6_13215_0_1,soxB,6,,,
dd_Smed_v6_17498_0_1,dd17498,6,,,
dd_Smed_v6_15473_0_1,dd15473,6,,,
dd_Smed_v6_10219_0_1,dd10219,6,,,
dd_Smed_v6_13772_0_1,PROX-1,6,,,
dd_Smed_v6_20755_0_1,dd20755,6,,,
dd_Smed_v6_11935_0_1,dd11935,6,,,
dd_Smed_v6_18972_0_1,dd18972,6,,,
dd_Smed_v6_6470_0_1,tbx2/3b,6,,,
