gene_name,v6_id,v4_id
,dd_Smed_v6_10001_0_1,dd_Smed_v4_10001_0_1
,dd_Smed_v6_100023_0_1,dd_Smed_v4_68454_0_1
,dd_Smed_v6_100023_0_1,dd_Smed_v4_82834_0_1
,dd_Smed_v6_10002_0_1,dd_Smed_v4_10002_0_1
,dd_Smed_v6_10003_0_1,dd_Smed_v4_10003_0_1
,dd_Smed_v6_100044_0_1,dd_Smed_v4_100044_0_1
,dd_Smed_v6_100048_0_1,dd_Smed_v4_100048_0_1
,dd_Smed_v6_100048_0_1,dd_Smed_v4_93226_0_1
,dd_Smed_v6_10004_0_1,dd_Smed_v4_10004_0_1
,dd_Smed_v6_10005_0_1,dd_Smed_v4_10005_0_1
,dd_Smed_v6_10006_0_1,dd_Smed_v4_10006_0_1
,dd_Smed_v6_10007_0_1,dd_Smed_v4_10007_0_1
,dd_Smed_v6_100081_0_1,dd_Smed_v4_100081_0_1
,dd_Smed_v6_100081_0_1,dd_Smed_v4_45590_0_1
,dd_Smed_v6_100081_0_1,dd_Smed_v4_56890_0_1
,dd_Smed_v6_100086_0_1,dd_Smed_v4_100086_0_1
,dd_Smed_v6_1000_0_1,dd_Smed_v4_1000_0_1
,dd_Smed_v6_10010_0_1,dd_Smed_v4_10010_0_1
,dd_Smed_v6_10011_0_1,dd_Smed_v4_10011_0_1
,dd_Smed_v6_100129_0_1,dd_Smed_v4_100129_0_1
,dd_Smed_v6_100129_0_1,dd_Smed_v4_84896_0_1
,dd_Smed_v6_100131_0_1,dd_Smed_v4_100131_0_1
,dd_Smed_v6_10013_0_1,dd_Smed_v4_10013_0_1
,dd_Smed_v6_100143_0_1,dd_Smed_v4_100143_0_1
,dd_Smed_v6_100143_0_1,dd_Smed_v4_56116_0_1
,dd_Smed_v6_100143_0_1,dd_Smed_v4_91792_0_1
,dd_Smed_v6_100149_0_1,dd_Smed_v4_100149_0_1
,dd_Smed_v6_100149_0_1,dd_Smed_v4_56046_0_1
,dd_Smed_v6_100149_0_1,dd_Smed_v4_59818_0_1
,dd_Smed_v6_10015_0_1,dd_Smed_v4_10015_0_1
,dd_Smed_v6_10016_0_1,dd_Smed_v4_10016_0_1
,dd_Smed_v6_100170_0_1,dd_Smed_v4_47436_0_1
,dd_Smed_v6_100170_0_1,dd_Smed_v4_74841_0_1
,dd_Smed_v6_100170_0_1,dd_Smed_v4_87290_0_1
,dd_Smed_v6_100170_0_1,dd_Smed_v4_90862_0_1
,dd_Smed_v6_100170_0_1,dd_Smed_v4_93390_0_1
,dd_Smed_v6_100170_0_1,dd_Smed_v4_95286_0_1
,dd_Smed_v6_100170_0_1,dd_Smed_v4_96340_0_1
,dd_Smed_v6_10017_0_1,dd_Smed_v4_10017_0_1
,dd_Smed_v6_10018_0_1,dd_Smed_v4_10018_0_1
,dd_Smed_v6_10019_0_1,dd_Smed_v4_10019_0_1
,dd_Smed_v6_1001_0_1,dd_Smed_v4_1001_0_1
,dd_Smed_v6_10020_0_1,dd_Smed_v4_10020_0_1
,dd_Smed_v6_10021_0_1,dd_Smed_v4_10021_0_1
,dd_Smed_v6_10022_0_1,dd_Smed_v4_10022_0_1
,dd_Smed_v6_100246_0_1,dd_Smed_v4_100246_0_1
,dd_Smed_v6_100246_0_1,dd_Smed_v4_49623_0_1
,dd_Smed_v6_100246_0_1,dd_Smed_v4_95843_0_1
,dd_Smed_v6_10024_0,dd_Smed_v4_10024_0_2
,dd_Smed_v6_10024_0_1,dd_Smed_v4_10024_0_1
,dd_Smed_v6_10024_0_2,dd_Smed_v4_10024_0_2
,dd_Smed_v6_10025_0_1,dd_Smed_v4_10025_0_1
,dd_Smed_v6_100263_0_1,dd_Smed_v4_100263_0_1
,dd_Smed_v6_100263_0_1,dd_Smed_v4_80205_0_1
,dd_Smed_v6_100263_0_1,dd_Smed_v4_99870_0_1
,dd_Smed_v6_100266_0_1,dd_Smed_v4_100266_0_1
,dd_Smed_v6_100266_0_1,dd_Smed_v4_58346_0_1
,dd_Smed_v6_100266_0_1,dd_Smed_v4_86353_0_1
,dd_Smed_v6_10026_0_1,dd_Smed_v4_10026_0_1
,dd_Smed_v6_10026_0_1,dd_Smed_v4_13386_0_1
,dd_Smed_v6_100278_0_1,dd_Smed_v4_100278_0_1
,dd_Smed_v6_100278_0_1,dd_Smed_v4_58105_0_1
,dd_Smed_v6_100278_0_1,dd_Smed_v4_80959_0_1
,dd_Smed_v6_10027_0_1,dd_Smed_v4_10027_0_1
,dd_Smed_v6_10028_0_1,dd_Smed_v4_10028_0_1
,dd_Smed_v6_10029_0_1,dd_Smed_v4_10029_0_1
,dd_Smed_v6_10029_0_1,dd_Smed_v4_31021_0_1
,dd_Smed_v6_1002_0_1,dd_Smed_v4_1002_0_1
